timestamp;total_packets;total_loopback;total_multicast;total_udp;total_tcp;total_options;total_fragment;total_fin;total_syn;total_intensity;input_packets;input_udp;input_tcp;input_options;input_fragment;input_fin;input_syn;input_intensity;output_packets;output_udp;output_tcp;output_options;output_fragment;output_fin;output_syn;output_intensity
2025-11-06T16:07:39.712045;400;0;0;0;200;0;87;0;0;198.57640411961728;113;0;113;0;0;0;0;56.09783416379188;87;0;87;0;87;0;0;43.19036789601676
2025-11-06T16:07:41.772048;400;0;0;0;200;0;92;0;0;198.49830869834253;109;0;109;0;1;0;0;54.09078912029834;91;0;91;0;91;0;0;45.158365228872924
2025-11-06T16:07:43.785056;400;0;0;0;200;0;104;0;0;198.8354463203946;96;0;96;0;0;0;0;47.7205071168947;104;0;104;0;104;0;0;51.697216043302596
2025-11-06T16:07:45.799081;400;0;0;8;192;0;119;0;4;198.72451702106818;73;0;73;0;0;0;0;36.26722435634494;109;0;109;0;109;0;0;54.15243088824108
2025-11-06T16:07:47.813078;400;0;0;0;200;0;112;0;0;198.74838815912224;88;0;88;0;0;0;0;43.72464539500689;112;0;112;0;112;0;0;55.649548684554226
2025-11-06T16:07:49.830082;400;0;0;0;200;0;92;0;4;198.53906383593076;108;0;108;0;0;0;0;53.60554723570131;84;0;84;0;84;0;0;41.69320340554546
2025-11-06T16:07:51.856066;396;0;0;0;198;0;96;0;0;195.64012789945198;102;0;102;0;0;0;0;50.39215415591945;88;0;88;0;88;0;0;43.475583977655994
2025-11-06T16:07:53.873040;400;0;0;0;200;0;94;0;1;198.43158627789384;106;0;106;0;0;0;0;52.58437036364187;91;0;91;0;91;0;0;45.14318587822085
2025-11-06T16:07:55.887060;398;0;0;8;191;0;166;14;28;197.73169075436354;33;3;30;0;2;0;0;16.394838680638184;30;3;27;0;30;0;0;14.904398800580166
2025-11-06T16:07:57.904089;398;0;0;12;185;0;194;8;16;197.4985500535293;7;4;3;0;6;0;0;3.4735925888811687;11;6;5;0;11;0;0;5.4585026396704075
2025-11-06T16:07:59.919093;348;0;13;66;108;0;137;6;4;172.86823612120432;49;18;31;0;30;3;0;24.34064244235348;58;28;30;0;58;3;0;28.811372686867387
2025-11-06T16:08:01.933026;400;0;60;85;107;0;153;2;12;198.75323842061388;21;4;17;0;10;0;0;10.434545017082229;32;15;17;0;20;0;0;15.90025907364911
2025-11-06T16:08:03.947053;376;0;0;4;184;0;184;4;4;186.80425438363744;0;0;0;0;0;0;0;0.0;0;0;0;0;0;0;0;0.0
2025-11-06T16:08:05.961115;400;0;0;6;192;0;192;4;0;198.72232794340852;7;0;7;0;7;1;0;3.477640739009649;7;0;7;0;7;1;0;3.477640739009649
2025-11-06T16:08:07.975057;398;0;59;100;87;0;89;4;6;197.75286580802893;15;1;11;0;9;1;1;7.452997455076467;17;1;13;0;17;1;1;8.446730449086662
